Question|Answer
What type of vocabulary should an academic tutor use according to the behavior manual?|According to the Behavior Manual document. An academic tutor must use professional vocabulary and avoid words that may offend students and/or anyone entering the class.
What is the tutor's responsibility regarding inappropriate student behavior?|According to the Behavior Manual document. The tutor must limit inappropriate behavior on the part of the students, ensuring a respectful, friendly but professional environment.
What environment should the tutor ensure in the class?|According to the Behavior Manual document. The tutor must ensure a respectful, friendly but professional environment.
What actions should a tutor take if they observe inappropriate behavior in class?|According to the Behavior Manual document. The tutor must limit these behaviors to ensure a respectful, friendly but professional environment.
Why is it important for the tutor to use professional vocabulary?|According to the Behavior Manual document. It is important to avoid offending students and/or anyone who enters the class and maintain an environment of respect and professionalism.
What is sought to achieve by limiting inappropriate behavior on the part of the tutor?|According to the Behavior Manual document. The aim is to ensure an environment of respect, friendship and professionalism within the class.
How long should the tutor stay in the laboratory class?|According to the Behavior Manual document. The tutor must remain in the laboratory class for the time established according to the DSI regulations (104).
What should the tutor leave aside during laboratory class time?|According to the Behavior Manual document. The tutor must leave aside personal or work activities of another institution or agency.
Are there exceptions so that the tutor can attend to personal or work activities during class? If so, what are they?|According to the Behavior Manual document. Yes, there are exceptions in case of emergencies justifiable before the corresponding entities, using the official means of the institution.
What process must justifiable emergencies follow to be accepted?|According to the Behavior Manual document. Justifiable emergencies must be submitted to an evaluation process carried out by the coordination of academic tutors for endorsement.
What should a tutor do if a personal emergency arises during lab class?|According to the Behavior Manual document. The tutor must justify the emergency before the corresponding entities using the official means of the institution and undergo an evaluation process by the coordination of academic tutors for endorsement.
What responsibility does the tutor have in relation to the topics to be discussed during laboratory hours?|According to the Behavior Manual document. The tutor has the responsibility of ensuring that the topics to be covered in the laboratory hours correspond to the content of the course and provide knowledge to the students.
Why is it important that the topics covered in the laboratory correspond to the content of the course?|According to the Behavior Manual document. It is important because it ensures that students receive relevant and useful knowledge that is aligned with the course objectives.
What should the tutor guarantee regarding the content of the topics in the laboratories?|According to the Behavior Manual document. The tutor must ensure that the topics covered in the laboratories correspond to the content of the course and are educational for the students.
What types of topics should not be included in the laboratory schedules according to the manual?|According to the Behavior Manual document. Topics that do not correspond to the course content or that do not provide knowledge to students should not be included.
What is the main objective of the topics covered in laboratory hours?|According to the Behavior Manual document. The main objective is to provide knowledge to students that is relevant and aligned with the course content.
How should the laboratory content be used according to the behavior manual?|According to the Behavior Manual document. The laboratory content must be used correctly, developing the necessary examples so that students understand all the topics.
What is the goal of developing examples in the laboratory?|According to the Behavior Manual document. The goal is to ensure that students understand all the topics covered in the laboratory.
What needs to be done so that students understand all the laboratory topics?|According to the Behavior Manual document. Necessary examples must be developed to help understand the topics.
What does the correct use of laboratory content entail?|According to the Behavior Manual document. It involves developing the necessary examples that allow students to fully understand the topics covered.
What is the tutor's responsibility regarding the examples in the laboratory?|According to the Behavior Manual document. The tutor has the responsibility of developing examples that facilitate the students' understanding of all topics.
What type of activities should be planned in the DTT according to the behavior manual?|According to the Behavior Manual document. Activities such as assessments, worksheets, and laboratory exercises must be planned in the DTT.
What tool should be used to present planned activities during attendance audits?|According to the Behavior Manual document. A shared screen presentation should be used to display planned activities during attendance audits.
What information should the presentation used for planned activities include?|According to the Behavior Manual document. The presentation must include the name of the activity, the start and end time and minute, the duration of the activity, the number of students doing the activity, and a list of students identified by ID, first and last name.
How should the information of the students participating in the planned activities be recorded?|According to the Behavior Manual document. Student information should be obtained through chat and pasted into the presentation.
Why is it important to use a presentation during planned laboratory activities?|According to the Behavior Manual document. It is important to ensure that activities are planned and authorized, and that attendance audits do not affect the effective time of activities.
What official document is provided for use in planned activity presentations?|According to the Behavior Manual document. An official template is provided for use in planned activity presentations.
What needs to be done at the beginning of the laboratory to confirm that the recording corresponds to the indicated day?|According to the Behavior Manual document. It is necessary to use a shared screen presentation when starting the lab.
What is the purpose of using a shared screen presentation at the beginning of the lab?|According to the Behavior Manual document. The purpose is to confirm that the recording corresponds to the indicated day.
What information should the presentation used at the beginning of the laboratory include?|According to the Behavior Manual document. The presentation must include the date, hour and minute of the start of the laboratory, the name of the course and section, and the name of the tutor.
Why is date and time information important in the initial lab presentation?|According to the Behavior Manual document. It is important to verify and confirm that the recording corresponds to the correct day and time.
What should be displayed on the screen when starting the lab?|According to the Behavior Manual document. A presentation must be shown that includes the start date, hour and minute, the name of the course and section, and the name of the tutor.
How should academic tutors address students?|According to the Behavior Manual document. Academic tutors must address students in a professional manner, assuming their role assigned by the institution.
What role should academic tutors assume when interacting with students?|According to the Behavior Manual document. Academic tutors must assume the role of academic tutor assigned by the institution.
