Pregunta|Respuesta
¿Donde puedo encontrar informacion sobre la conferencia?|Puedes encontrar mas informacion en el documento ''Manual DTT para Tutores Academicos''
¿Donde puedo encontrar informacion sobre la conferencia?|Puedes encontrar mas informacion en el documento ''Manual DTT para Tutores Academicos''
¿Donde puedo encontrar informacion sobre la finalidad de la conferencia?|Puedes encontrar mas informacion en el documento ''Manual DTT para Tutores Academicos''
¿Existe una plantilla para el reporte de conferencia?|Si, este es llamado ''plantilla Formato Reporte de conferencia''
¿Existe una plantilla para el para la lista de asistencia?|Si, este es llamado ''plantilla Lista de Asistencia conferencia''
¿Existe una plantilla para la carta de aprobacion de conferencia?|Si, este es llamado ''plantilla Formato de Carta de Aprovacion de Conferencia''
¿Existe una plantilla para la encuesta?|Si, este es llamado ''lantilla de Encuesta''
¿Existe una plantilla para el reporte el diploma de la conferencia?|Si, este es llamado ''plantilla de Diploma Conferencia''
¿Existe una plantilla para afiche de la conferencia?|Si, este es llamado ''plantilla Afiche Conferencia''
¿Donde puedo encontrar informacion para realizar el afiche de conferencia?|Puedes encontrar mas informacion en el documento ''Instructivo Afiche Conferencia''
¿Donde puedo encontrar informacion para crear el afiche de conferencia?|Puedes encontrar mas informacion en el documento ''Instructivo Afiche Conferencia''
¿Donde puedo encontrar el documento Manual DTT para Tutores Academicos?|Lo puedes encontrar en: ''https://drive.google.com/file/d/1IrubAe2-NzFQ9-08sGiGbNxTp0eYXU9D/view?usp=sharing''
¿Donde puedo encontrar la plantilla Formato Reporte de conferencia?|Lo puedes encontrar en: ''https://docs.google.com/document/d/19MDuu7lWcY_2-asFGDEKUusW7FHn-KMB/edit?usp=sharing&ouid=102942262489282477159&rtpof=true&sd=true''
¿Donde puedo encontrar la plantilla Lista de Asistencia conferencia?|Lo puedes encontrar en: ''https://docs.google.com/document/d/19ItQsPRpFiCjmbt9YLaxbC3EZWTCoGUh/edit?usp=sharing&ouid=102942262489282477159&rtpof=true&sd=true''
¿Donde puedo encontrar la plantilla Formato de Carta de Aprovacion de Conferencia?|Lo puedes encontrar en: ''https://docs.google.com/document/d/1i9P_4qHah_ilJMdQ07uvfuE4RmoLpXvQ/edit?usp=sharing&ouid=102942262489282477159&rtpof=true&sd=true''
¿Donde puedo encontrar la plantilla de Encuesta?|Lo puedes encontrar en: ''https://docs.google.com/document/d/115mPEtMPowxcFTDigU9lvaW5bANeVipM/edit?usp=sharing&ouid=102942262489282477159&rtpof=true&sd=true''
¿Donde puedo encontrar la plantilla de Diploma Conferencia?|Lo puedes encontrar en: ''https://drive.google.com/file/d/1AvJ8Gy6LR9H6XCjXB1rwK4iQrb8cfLfy/view?usp=sharing''
¿Donde puedo encontrar la plantilla Afiche Conferencia?|Lo puedes encontrar en: ''https://docs.google.com/presentation/d/1MDTFkY-0QLEqg1FGGEpZDzhpwaDYInE-/edit?usp=sharing&ouid=102942262489282477159&rtpof=true&sd=true''
¿Donde puedo encontrar el documento Instructivo Afiche Conferencia?|Lo puedes encontrar en: ''https://drive.google.com/file/d/1TRk35krWWPtGZFe_2DL8Dzz22PkqwMS7/view?usp=sharing''
