Pregunta|Respuesta
¿Qué tipo de vocabulario debe usar un tutor académico según el manual de comportamiento?|Según el documento Manual de comportamiento. Un tutor académico debe utilizar un vocabulario profesional y evitar las palabras que puedan ofender a los estudiantes y/o a cualquier persona que acceda a la clase.
¿Cuál es la responsabilidad del tutor respecto a los comportamientos no adecuados de los alumnos?|Según el documento Manual de comportamiento. El tutor debe limitar comportamientos no adecuados de parte de los alumnos asegurando un ambiente respetuoso, amigable pero profesional.
¿Qué ambiente debe asegurar el tutor en la clase?|Según el documento Manual de comportamiento. El tutor debe asegurar un ambiente respetuoso, amigable pero profesional.
¿Qué acciones debe tomar un tutor si observa comportamientos no adecuados en la clase?|Según el documento Manual de comportamiento. El tutor debe limitar estos comportamientos para asegurar un ambiente respetuoso, amigable pero profesional.
¿Por qué es importante que el tutor use un vocabulario profesional?|Según el documento Manual de comportamiento. Es importante para evitar ofender a los estudiantes y/o a cualquier persona que acceda a la clase y mantener un ambiente de respeto y profesionalismo.
¿Qué se busca lograr con la limitación de comportamientos no adecuados por parte del tutor?|Según el documento Manual de comportamiento. Se busca asegurar un ambiente de respeto, amistad y profesionalismo dentro de la clase.
¿Cuánto tiempo debe permanecer el tutor en la clase de laboratorio?|Según el documento Manual de comportamiento. El tutor debe permanecer en la clase de laboratorio el tiempo establecido según el reglamento DSI(104).
¿Qué debe dejar de lado el tutor durante el tiempo de clase de laboratorio?|Según el documento Manual de comportamiento. El tutor debe dejar de lado las actividades personales o laborales de otra institución o dependencia.
¿Existen excepciones para que el tutor pueda atender actividades personales o laborales durante la clase? Si es así, ¿cuáles son?|Según el documento Manual de comportamiento. Sí, existen excepciones en caso de emergencias justificables ante los entes correspondientes, utilizando los medios oficiales de la institución.
¿Qué proceso deben seguir las emergencias justificables para ser aceptadas?|Según el documento Manual de comportamiento. Las emergencias justificables deben ser sometidas a un proceso de evaluación realizado por la coordinación de tutores académicos para su aval.
¿Qué debe hacer un tutor si surge una emergencia personal durante la clase de laboratorio?|Según el documento Manual de comportamiento. El tutor debe justificar la emergencia ante los entes correspondientes utilizando los medios oficiales de la institución y someterse a un proceso de evaluación por la coordinación de tutores académicos para su aval.
¿Qué responsabilidad tiene el tutor en relación a los temas a tratar durante los horarios de laboratorio?|Según el documento Manual de comportamiento. El tutor tiene la responsabilidad de asegurar que los temas a tratar en los horarios de laboratorio correspondan al contenido del curso y brinden conocimiento a los estudiantes.
¿Por qué es importante que los temas tratados en el laboratorio correspondan al contenido del curso?|Según el documento Manual de comportamiento. Es importante porque garantiza que los estudiantes reciban conocimiento relevante y útil que esté alineado con los objetivos del curso.
¿Qué debe garantizar el tutor respecto al contenido de los temas en los laboratorios?|Según el documento Manual de comportamiento. El tutor debe garantizar que los temas tratados en los laboratorios correspondan al contenido del curso y sean educativos para los estudiantes.
¿Qué tipo de temas no deben ser incluidos en los horarios de laboratorio según el manual?|Según el documento Manual de comportamiento. No deben ser incluidos temas que no correspondan al contenido del curso o que no brinden conocimiento a los estudiantes.
